SCフラグ,割当SC,ルート番号,
0,14,1,
0,14,2,
0,14,2,
0,14,1,
0,14,3,
0,14,3,
0,14,4,
0,14,4,
0,14,5,
0,14,6,
0,14,6,
0,14,7,
0,14,5,
1,14,0,
0,14,8,
0,14,8,
0,85,1,
0,14,7,
0,14,9,
0,14,10,
0,14,10,
0,85,1,
0,85,2,
0,85,2,
0,85,3,
0,85,3,
0,85,4,
0,85,4,
0,50,1,
0,50,1,
0,50,2,
0,50,2,
0,50,3,
0,50,4,
0,14,9,
0,85,5,
0,85,5,
0,85,6,
0,85,7,
0,85,7,
0,85,8,
0,85,8,
0,85,9,
0,85,9,
0,50,5,
0,50,6,
0,50,6,
0,50,3,
0,50,7,
1,50,0,
0,50,4,
0,50,8,
0,50,8,
0,50,9,
0,50,9,
0,85,10,
0,85,10,
0,85,6,
0,85,11,
0,85,11,
0,85,12,
0,85,13,
0,85,13,
0,85,14,
0,85,14,
0,50,5,
0,50,10,
0,50,10,
0,50,7,
0,50,11,
0,50,11,
0,50,12,
0,50,12,
0,50,13,
0,50,13,
0,50,14,
0,50,14,
0,183,2,
0,183,2,
0,85,15,
0,85,15,
0,85,16,
0,85,16,
0,85,12,
1,85,0,
0,85,17,
0,85,17,
0,85,18,
0,85,18,
0,173,2,
0,173,2,
0,173,3,
0,173,4,
0,173,4,
0,173,5,
0,173,5,
0,173,6,
0,50,15,
0,50,15,
0,183,3,
0,183,3,
0,183,4,
0,183,4,
0,183,5,
0,183,5,
0,183,6,
0,85,19,
0,85,19,
0,85,20,
0,85,20,
0,85,21,
0,85,22,
0,85,22,
0,85,23,
0,85,23,
0,173,7,
0,173,7,
0,173,3,
0,173,8,
0,173,8,
0,173,9,
0,173,10,
0,173,10,
0,173,6,
0,173,11,
0,183,7,
0,183,7,
0,183,8,
0,183,8,
0,183,9,
0,183,9,
0,183,6,
0,183,10,
0,183,10,
0,85,24,
0,85,25,
0,85,21,
0,85,26,
0,85,26,
0,173,1,
0,173,12,
0,173,12,
0,173,13,
0,173,14,
0,173,15,
0,173,9,
0,173,16,
0,173,16,
0,173,17,
0,173,17,
0,173,11,
0,183,11,
0,183,12,
0,183,12,
0,183,13,
0,183,13,
0,183,14,
0,183,14,
0,183,15,
0,183,15,
0,85,24,
0,85,25,
0,85,27,
0,85,27,
0,85,28,
0,85,28,
0,173,18,
0,173,18,
0,173,13,
0,173,14,
0,173,15,
0,173,19,
1,173,0,
0,173,20,
0,173,20,
0,173,21,
0,173,21,
0,173,22,
0,173,22,
0,183,11,
0,183,16,
0,183,16,
1,183,0,
0,183,17,
0,183,17,
0,183,18,
0,183,18,
0,173,23,
0,173,23,
0,173,24,
0,173,25,
0,173,25,
0,173,19,
0,173,26,
0,173,26,
0,274,1,
0,274,1,
0,274,2,
0,274,2,
0,183,19,
0,183,19,
0,183,20,
0,183,21,
0,183,22,
0,183,22,
0,183,23,
0,183,23,
0,183,1,
0,173,27,
0,173,27,
0,173,24,
0,173,28,
0,173,28,
0,274,3,
0,274,3,
0,274,4,
0,274,4,
0,274,5,
0,274,6,
0,274,6,
0,183,20,
0,274,7,
0,183,21,
0,300,1,
0,300,1,
0,300,2,
0,300,2,
0,183,24,
0,183,24,
0,173,29,
0,173,29,
0,274,8,
0,274,8,
0,274,9,
0,274,9,
0,274,10,
0,274,10,
0,274,5,
0,274,11,
0,274,11,
0,274,7,
0,300,3,
0,300,3,
0,300,4,
0,300,4,
0,300,5,
0,300,5,
0,300,6,
0,300,6,
0,274,12,
0,274,13,
0,274,14,
0,274,15,
0,274,15,
0,274,16,
0,274,17,
0,274,17,
0,274,18,
0,274,18,
0,300,7,
0,300,7,
0,300,8,
0,300,8,
0,300,9,
0,300,9,
0,300,10,
0,300,10,
0,274,12,
0,274,13,
0,274,14,
0,274,19,
0,274,19,
0,274,16,
1,274,0,
0,274,20,
0,274,20,
0,274,21,
0,274,21,
0,274,22,
0,300,11,
0,300,11,
0,300,12,
0,300,12,
0,300,13,
0,300,14,
0,300,14,
0,274,23,
0,274,23,
0,274,24,
0,274,24,
0,274,25,
0,274,25,
0,274,26,
0,274,26,
0,274,22,
0,300,15,
0,300,15,
0,300,16,
0,300,17,
1,300,0,
0,300,17,
0,300,13,
0,274,27,
0,274,28,
0,274,28,
0,300,18,
0,300,18,
0,300,16,
0,300,19,
0,300,19,
0,300,20,
0,300,20,
0,300,21,
0,300,21,
0,274,27,
0,274,29,
0,274,29,
0,363,12,
0,363,12,
0,300,22,
0,300,22,
0,300,23,
0,300,23,
0,300,24,
0,300,25,
0,300,25,
0,363,13,
0,363,13,
0,363,1,
0,363,2,
0,363,14,
0,363,14,
0,363,3,
0,300,24,
0,300,26,
0,300,26,
0,363,15,
0,363,15,
0,363,16,
0,363,16,
0,363,17,
0,363,17,
0,363,4,
0,363,18,
0,363,18,
0,363,5,
0,300,27,
0,300,27,
0,363,19,
0,363,19,
0,363,20,
0,363,20,
0,363,21,
0,363,21,
0,363,22,
0,363,22,
0,363,23,
0,363,23,
0,363,6,
0,363,24,
0,363,24,
0,363,7,
1,363,0,
0,363,25,
0,363,25,
0,363,26,
0,363,26,
0,363,8,
0,363,27,
0,363,27,
0,363,28,
0,363,28,
0,363,29,
0,363,29,
0,363,9,
0,363,10,
0,363,30,
0,363,30,
0,363,11,
0,363,31,
0,363,32,
0,363,32,
0,363,31,
0,363,33,
0,363,33,
