
ﾃｨｯｶｰ	社名	比率	ｾｸﾀｰ
AAPL	ｱｯﾌﾟﾙ	10.19	情報技術
MSFT	ﾏｲｸﾛｿﾌﾄ	8.13	情報技術
AMZN	ｱﾏｿﾞﾝﾄﾞｯﾄｺﾑ	6.53	消費財
FB	ﾌｪｲｽﾌﾞｯｸ	3.1	通信
GOOGL	ｱﾙﾌｧﾍﾞｯﾄ(A)	2.52	通信
GOOG	ｱﾙﾌｧﾍﾞｯﾄ(C)	2.44	通信
TSLA	ﾃｽﾗ	2.42	消費財
BRKB	ﾊﾞｰｸｼｬｰﾊｻｳｪｲ(B)	2.13	金融
JNJ	J&J	1.94	ﾍﾙｽｹｱ
JPM	JPﾓﾙｶﾞﾝﾁｪｰｽ	1.83	金融
V	ﾋﾞｻﾞ	1.71	情報技術
PG	P&G	1.65	必需品
UNH	ﾕﾅｲﾃｯﾄﾞﾍﾙｽ	1.56	ﾍﾙｽｹｱ
NVDA	ｴﾇﾋﾞﾃﾞｨｱ	1.55	情報技術
DIS	ｳｫﾙﾄﾃﾞｨｽﾞﾆｰ	1.52	通信
MA	ﾏｽﾀｰｶｰﾄﾞ	1.43	情報技術
HD	ﾎｰﾑﾃﾞﾎﾟ	1.41	消費財
PYPL	ﾍﾟｲﾊﾟﾙ	1.35	情報技術
VZ	ﾍﾞﾗｲｿﾞﾝ	1.18	通信
ADBE	ｱﾄﾞﾋﾞｼｽﾃﾑｽﾞ	1.16	情報技術
CMCSA	ｺﾑｷｬｽﾄ	1.11	通信
BAC	ﾊﾞﾝｸｵﾌﾞｱﾒﾘｶ	1.1	金融
NFLX	ﾈｯﾄﾌﾘｯｸｽ	1.1	通信
PFE	ﾌｧｲｻﾞｰ	1	ﾍﾙｽｹｱ
KO	ｺｶｺｰﾗ	1	必需品
CRM	ｾｰﾙｽﾌｫｰｽ	1	情報技術
T	AT&T	0.99	通信
MRK	ﾒﾙｸ	0.98	ﾍﾙｽｹｱ
PEP	ﾍﾟﾌﾟｼｺ	0.97	必需品
WMT	ｳｫﾙﾏｰﾄ	0.96	必需品
INTC	ｲﾝﾃﾙ	0.93	情報技術
ABT	ｱﾎﾞｯﾄﾗﾎﾞﾗﾄﾘｰｽﾞ	0.93	ﾍﾙｽｹｱ
CSCO	ｼｽｺｼｽﾃﾑｽﾞ	0.91	情報技術
ABBV	ｱｯｳﾞｨ	0.88	ﾍﾙｽｹｱ
TMO	ｻｰﾓﾌｨｯｼｬｰS	0.88	ﾍﾙｽｹｱ
NKE	ﾅｲｷ	0.86	消費財
XOM	ｴｸｿﾝﾓｰﾋﾞﾙ	0.85	ｴﾈﾙｷﾞｰ
QCOM	ｸｱﾙｺﾑ	0.81	情報技術
CVX	ｼｪﾌﾞﾛﾝ	0.79	ｴﾈﾙｷﾞｰ
ACN	ｱｸｾﾝﾁｭｱ	0.79	情報技術
COST	ｺｽﾄｺ	0.78	必需品
MCD	ﾏｸﾄﾞﾅﾙﾄﾞ	0.76	消費財
MDT	ﾒﾄﾞﾄﾛﾆｯｸ	0.74	ﾍﾙｽｹｱ
TXN	ﾃｷｻｽｲﾝｽﾂﾙﾒﾝﾂ	0.72	情報技術
