,TOPIX:始値,TOPIX:高値,TOPIX:安値,TOPIX:終値
1989/02/06,2465.87,2476.65,2465.87,2473.59
1989/02/07,2473.3,2476.6,2467.85,2472.3
1989/02/08,2473.49,2492.17,2473.49,2490.07
1989/02/09,2490.97,2504.82,2489.07,2489.07
1989/02/10,2487.75,2490.29,2478.48,2485.71
1989/02/13,2484.22,2484.22,2473.81,2478.82
1989/02/14,2477.43,2479.64,2472.52,2473.46
1989/02/15,2473.38,2480.07,2472.84,2475.71
1989/02/16,2475.6,2484.11,2465.03,2468.19
1989/02/17,2468.74,2482.48,2468.74,2473.33
1989/02/20,2474.21,2482.98,2463.14,2470.37
1989/02/21,2470.41,2470.41,2448.52,2452.91
1989/02/22,2454.09,2472.04,2454.09,2472.04
1989/02/23,2473.17,2491.33,2471.48,2487.24
1989/02/27,2486.33,2487.91,2468.82,2468.97
1989/02/28,2468.78,2470.22,2444.05,2447.23
1989/03/01,2448.54,2461.54,2431,2443.76
1989/03/02,2443.34,2448.55,2428.06,2442.68
1989/03/03,2443.53,2458.86,2432.09,2439.9
1989/03/06,2438.97,2440.04,2416.92,2426.34
1989/03/07,2424.27,2430.65,2412.42,2427.1
1989/03/08,2427.52,2438.18,2420.02,2421.78
1989/03/09,2421.39,2423.19,2403.45,2403.61
1989/03/10,2403.04,2408.24,2395.07,2408.24
1989/03/13,2406.98,2407.16,2389.5,2392.89
1989/03/14,2393.34,2407.52,2390.5,2407.52
1989/03/15,2410.45,2432.77,2410.45,2432.77
1989/03/16,2434.01,2444.32,2431.58,2432.69
1989/03/17,2433.47,2437.45,2416.44,2419.59
1989/03/20,2418.03,2418.03,2389.03,2393.04
1989/03/22,2393.52,2399.82,2366.12,2370.06
1989/03/23,2369.94,2381.99,2369.94,2380.17
1989/03/24,2380.11,2381.79,2367.26,2373
1989/03/27,2373.74,2375.25,2359.79,2364.33
1989/03/28,2365.33,2422.46,2365.33,2422.46
1989/03/29,2423.52,2447.59,2423.52,2447.59
1989/03/30,2447.77,2456.64,2442.08,2456.23
1989/03/31,2456.83,2469.15,2456.16,2469.15
1989/04/03,2470.35,2475.6,2464.48,2467.52
1989/04/04,2468.54,2486.35,2468.54,2483.01
1989/04/05,2484.21,2496.26,2484.21,2494.74
1989/04/06,2492.76,2492.76,2458.85,2469.78
1989/04/07,2469.9,2478.88,2467.61,2474.35
1989/04/10,2475.33,2477.8,2457.42,2458.8
1989/04/11,2458.72,2475.53,2457.66,2470.23
1989/04/12,2471.03,2480.84,2464.24,2466.39
1989/04/13,2467.35,2475.2,2450.22,2455.21
1989/04/14,2453.56,2457.42,2443.23,2457.42
1989/04/17,2460.43,2474.25,2460.43,2468.99
1989/04/18,2468.66,2470.14,2460.1,2464.62
1989/04/19,2464.99,2470.07,2459.47,2460.53
1989/04/20,2460.24,2461.73,2443.45,2447.42
1989/04/21,2445.52,2445.52,2423.41,2438.19
1989/04/24,2438.63,2442.17,2417.5,2422.98
1989/04/25,2424.27,2450.08,2424.27,2448.73
1989/04/26,2449.71,2461.02,2446.5,2461.02
1989/04/27,2461.27,2471.5,2461.27,2471.5
1989/04/28,2473.05,2488.52,2473.05,2488.52
1989/05/01,2489.31,2505.7,2489.31,2503.26
1989/05/02,2504.2,2517.49,2504.2,2517.49
