,EURO,AUL,CAN,FRA,GER,JAP,USA
1996-03-19,,10.125,10.375,12.75,13.5,60.0,651.6900019999998
1996-03-20,,10.125,10.375,12.75,13.5,60.0,649.97998
1996-03-21,,10.25,10.375,12.625,13.5,61.5,649.1900019999998
1996-03-22,,10.25,10.375,12.625,13.5,61.25,650.619995
1996-03-25,,10.25,10.375,12.625,13.6875,61.75,650.039978
1996-03-26,,10.25,10.375,13.0,13.625,61.75,652.969971
1996-03-27,,10.25,10.375,12.875,13.5,62.25,648.909973
1996-03-28,,10.25,10.375,12.9375,13.625,62.25,648.9400019999998
1996-03-29,,10.25,10.4375,13.1875,13.5,62.75,645.5
1996-04-01,,10.375,10.4375,13.1875,13.5625,62.75,653.72998
1996-04-02,,10.375,10.5,13.375,13.625,63.25,655.26001
1996-04-03,,10.25,10.5,13.375,13.5,62.75,655.880005
1996-04-04,,10.375,10.5,13.375,13.4375,63.0,655.8599849999998
1996-04-08,,10.1875,10.5,13.375,13.375,62.0,644.23999
1996-04-09,,10.3125,10.5,13.375,13.4375,63.0,642.1900019999998
1996-04-10,,10.25,10.625,13.3125,13.4375,62.5,633.5
1996-04-11,,10.25,10.5,13.1875,13.4375,62.5,631.179993
1996-04-12,,10.25,10.5,13.25,13.4375,62.75,636.710022
1996-04-15,,10.5,10.5,13.25,13.4375,63.0,642.48999
1996-04-16,,10.4375,10.625,13.25,13.4375,63.0,645.0
1996-04-17,,10.4375,10.75,13.0,13.375,62.75,641.6099849999998
1996-04-18,,10.5,10.625,13.1875,13.375,63.0,643.6099849999998
1996-04-19,,10.5,10.75,13.375,13.4375,63.75,645.070007
1996-04-22,,10.5,10.75,13.375,13.375,65.75,647.8900150000002
1996-04-23,,10.625,10.75,13.375,13.375,65.25,651.580017
1996-04-24,,10.6875,10.75,13.4375,13.25,66.0,650.169983
1996-04-25,,10.6875,10.75,13.3125,13.1875,65.75,652.869995
1996-04-26,,10.8125,10.8125,13.4375,13.25,66.0,653.460022
1996-04-29,,10.75,10.875,13.4375,13.125,65.5,654.159973
1996-04-30,,10.6875,10.8125,13.375,12.875,65.75,654.169983
1996-05-01,,10.6875,10.75,13.375,12.9375,65.75,654.580017
1996-05-02,,10.8125,10.625,13.5,12.9375,65.0,643.380005
1996-05-03,,10.8125,10.6875,13.3125,13.0,65.0,641.630005
1996-05-06,,10.75,10.6875,13.25,13.0,64.75,640.8099980000002
1996-05-07,,10.8125,10.6875,13.1875,13.0,64.75,638.26001
1996-05-08,,10.8125,10.6875,13.1875,13.0625,65.0,644.77002
1996-05-09,,10.75,10.6875,13.1875,13.0625,64.75,645.4400019999998
1996-05-10,,10.75,10.6875,13.25,13.0625,64.25,652.090027
1996-05-13,,10.5625,10.6875,13.125,12.875,63.25,661.51001
1996-05-14,,10.75,10.6875,13.25,13.0625,63.75,665.599976
1996-05-15,,10.6875,10.75,13.25,13.125,64.25,665.419983
1996-05-16,,10.5625,10.875,13.25,13.125,64.5,664.849976
1996-05-17,,10.5625,10.9375,13.375,13.25,64.0,668.909973
1996-05-20,,10.625,10.875,13.375,13.25,63.75,673.150024
1996-05-21,,10.5625,10.9375,13.375,13.125,63.5,672.76001
1996-05-22,,10.5625,10.875,13.25,13.125,63.25,678.419983
1996-05-23,,10.5625,10.875,13.0625,13.25,62.75,676.0
1996-05-24,,10.5625,10.875,13.1875,13.25,62.5,678.51001
1996-05-28,,10.5625,10.9375,13.375,13.1875,62.5,672.22998
1996-05-29,,10.625,10.875,13.3125,13.125,62.5,667.929993
1996-05-30,,10.5625,10.75,13.1875,13.125,62.75,671.700012
1996-05-31,,10.625,10.75,13.25,13.1875,62.75,669.119995
1996-06-03,,10.375,10.8125,13.25,13.1875,61.75,667.679993
1996-06-04,,10.5,10.8125,13.375,13.25,62.25,672.5599980000002
1996-06-05,,10.4375,10.8125,13.375,13.375,62.0,678.4400019999998
1996-06-06,,10.375,10.8125,13.375,13.375,62.0,673.030029
1996-06-07,,10.25,10.8125,13.375,13.375,61.5,673.3099980000002
1996-06-10,,10.3125,10.75,13.375,13.25,61.5,672.159973
1996-06-11,,10.375,10.75,13.3125,13.25,61.75,670.969971
1996-06-12,,10.4375,10.75,13.3125,13.25,62.5,669.039978
1996-06-13,,10.5,10.75,13.3125,13.25,62.75,667.919983
1996-06-14,,10.5,10.75,13.25,13.25,63.0,665.849976
